,User,text
0,andrew97229057,@Cricketracker @dhoni
1,devamitrapanda,@ULHASCHITHARIA @TanayaModak_ @Dhoni 😃😃💐💐💐
2,devamitrapanda,RT @ULHASCHITHARIA: @devamitrapanda @TanayaModak_ @Dhoni Absolutely . You used very appropriate word 👌👌👌
3,ULHASCHITHARIA,@devamitrapanda @TanayaModak_ @Dhoni Absolutely . You used very appropriate word 👌👌👌
4,devamitrapanda,"@ULHASCHITHARIA @TanayaModak_ Was pleasure,escastic to watch @Dhoni to play"
5,krishnpandeyy,"मुझे लगा नही था कि@dhoni इतना खेले ge , आखिर शेर शेर होता है, कब तक संत बना रहे गा।"
6,Durga03985780,✨💛💪@dhoni✨ Thangameyyy....❤️ https://t.co/AapEZF7RDs
7,313Amirza,"@IrfanPathan Why not km asif for tushar deshpande
@csk
@imjadeja 
@dhoni"
8,1534Gaurav,"ɪᴩʟ ꜱᴇᴀꜱᴏɴ 2022 ᴍᴇ
ᴩᴇʜʟᴀ ᴀʀᴅʜ ꜱʜᴀᴛᴀᴋ
#msd #ipl22 @dhoni @RJDforIndia @ashchanchlani @elonmusk"
9,abcmoshs,#notfinished @Dhoni MS Dhoni #CSKvKKR
10,JintoRs,Ist fifty in @IPL @dhoni @TukTuk_Academy
11,m_arulvel,"#staraikelungal 
@dhoni naan veezhven endru ninaithaayo?"
12,goanvartalive,"MUST READ | पुन्हा एकदा आयपीएलचा रणसंग्राम सुरू!
#IPL2022 #IPL #CSKvKKR @Dhoni #MarathiNews #Cricket 

सविस्तर वाचण्यासाठी Link - https://t.co/kzCTYwHlkA"
13,Praveen59839036,"1st game

 i am supporting CSK 

#KKRvsCSK #KKRvCSK #CSKvKKR #CSKvsKKR #KKRHaiTaiyaar #WhistlePodu #ChennaiSuperKings @iamjadeja_ @dhoni https://t.co/gqgQrkw7FY"
14,BALAJIS20364676,"RT @velai_illa_vasu: Dhoni Illustration.
Happy Birthday @dhoni #Dhonibirthday #mahendrasinghdhoni #HappyBirthdayMSD #MSDhonibirthday https:…"
15,Murugavel_agri,"@dhoni /Legendary captaincy tenure in yellow skip. A chapter fans will never forget. I respect always... 
மஞ்சள் ஸ்கிப்பில் புகழ்பெற்ற கேப்டன் பதவி காலம். ரசிகர்களால் மறக்க முடியாத அத்தியாயம். எப்போதும் மரியாதை..@cskstuff ❤️ https://t.co/s0HWBn69s1"
16,shiva7303,@imVkohli @msdhoni No other can do what the king @imVkohli and the captain cool @dhoni did for their franchise and for the national team love from all over india 😘🥰
17,Saimani07,"Miss you caption 💛 @ChennaiIPL  @dhoni

#Dhoni #Dhonism #CSK"
18,yesveesbi,Just when we are settling down to IPL2022 Dhoni hands over the baton to Jaddu as CSK captain. Great era comes to an end. Salute #Dhoni @Iamjadeja @ChennaiIPL @IPL2022 @Dhoni
19,khela_parminder,"RT @therisingpanjab: ""MS Dhoni has decided to hand over the leadership of Chennai Super Kings and picked Ravindra Jadeja to lead the team..…"
20,therisingpanjab,"""MS Dhoni has decided to hand over the leadership of Chennai Super Kings and picked Ravindra Jadeja to lead the team... @Dhoni will continue to represent CSK this season and beyond,"" read a #CSK statement.
For More News- https://t.co/euM1BPJRS0
#MSDhoni #ipl #sports #Cricket https://t.co/xvRzJsh8S3"
21,22875bc8b147415,"@nakulvibhor @nilishamantri_ @mipaltan CHENNAI SUPER KINGS🤴 
@DHONI"
